Datetime,Date,PeriodID(1 to 48),Area Demand (MW),Nuclear,Thermal (LNG),Thermal (Coal),Thermal (Oil),Thermal (Other),Hydroelectric,Geothermal,Biomass,Solar PV Output,Solar PV Curtailment,Wind Power Output,Wind Power Curtailment,Pumped Storage,Battery Storage,Interconnected Lines,Others,Total
2023-10-01 00:00:00,2023-10-01,1,7774,4112,826,2666,94,348,260,150,640,2,0,18,0,0,-18,-1488,170,7780
2023-10-01 00:30:00,2023-10-01,2,7476,4106,810,2560,86,344,250,148,636,2,0,20,0,0,-18,-1640,168,7472
2023-10-01 01:00:00,2023-10-01,3,7270,4108,790,2250,88,332,254,150,636,2,0,26,0,0,-12,-1520,168,7272
2023-10-01 01:30:00,2023-10-01,4,7180,4110,886,2134,86,322,246,146,636,2,0,20,0,0,-20,-1556,168,7180
2023-10-01 02:00:00,2023-10-01,5,7174,4106,852,2176,86,304,254,150,636,2,0,26,0,0,-28,-1552,168,7180
2023-10-01 02:30:00,2023-10-01,6,7290,4108,866,2196,84,308,252,146,638,0,0,24,0,72,-16,-1560,168,7286
2023-10-01 03:00:00,2023-10-01,7,7450,4106,884,2214,84,306,356,150,636,2,0,36,0,98,-8,-1576,168,7456
2023-10-01 03:30:00,2023-10-01,8,7594,4106,858,2262,84,288,384,146,636,0,0,30,0,116,0,-1488,168,7590
2023-10-01 04:00:00,2023-10-01,9,7708,4098,936,2288,86,270,492,150,634,0,0,32,0,222,2,-1664,168,7714
2023-10-01 04:30:00,2023-10-01,10,7946,4104,894,2294,86,268,596,146,636,0,0,30,0,326,10,-1616,168,7942
2023-10-01 05:00:00,2023-10-01,11,8050,4104,918,2168,90,268,512,150,632,0,0,34,0,478,2,-1464,168,8060
2023-10-01 05:30:00,2023-10-01,12,7934,4102,744,2022,88,260,478,146,626,0,0,38,0,524,2,-1272,168,7926
2023-10-01 06:00:00,2023-10-01,13,7742,4110,732,1926,92,236,458,150,612,28,0,40,0,468,2,-1272,168,7750
2023-10-01 06:30:00,2023-10-01,14,7500,4104,784,1726,90,234,406,148,570,184,0,32,0,198,2,-1152,168,7494
2023-10-01 07:00:00,2023-10-01,15,7468,4110,1014,1600,92,232,332,152,518,752,0,36,0,156,26,-1716,168,7472
2023-10-01 07:30:00,2023-10-01,16,7548,4110,888,1498,92,228,296,146,512,1320,0,32,0,-2,4,-1748,168,7544
2023-10-01 08:00:00,2023-10-01,17,7816,4112,966,1406,90,226,280,152,510,1632,11,36,0,0,16,-1776,168,7818
2023-10-01 08:30:00,2023-10-01,18,7884,4110,694,1404,90,222,264,150,510,2114,19,26,0,0,-6,-1864,168,7882
2023-10-01 09:00:00,2023-10-01,19,8296,4116,572,1400,92,226,258,152,510,2664,15,32,0,0,-2,-1884,168,8304
2023-10-01 09:30:00,2023-10-01,20,8536,4110,578,1396,90,240,246,150,508,3114,16,26,0,-180,-4,-1912,168,8530
